cliente_id,region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,clientecat
1,2,13,44,1,9,64000,4,5,0,0,2,1
2,3,11,33,1,7,136000,5,5,0,0,6,4
3,3,68,52,1,24,116000,1,29,0,1,2,3
4,2,33,33,0,12,33000,2,0,0,1,1,1
5,2,23,30,1,9,30000,1,2,0,0,4,3
6,2,41,39,0,17,78000,2,16,0,1,1,3
7,3,45,22,1,2,19000,2,4,0,1,5,2
8,2,38,35,0,5,76000,2,10,0,0,3,4
9,3,45,59,1,7,166000,4,31,0,0,5,3
10,1,68,41,1,21,72000,1,22,0,0,3,2
11,2,5,33,0,10,125000,4,5,0,1,1,1
12,3,7,35,0,14,80000,2,15,0,1,1,3
13,1,41,38,1,8,37000,2,9,0,1,3,1
14,2,57,54,1,30,115000,4,23,0,1,3,4
15,2,9,46,0,3,25000,1,8,0,1,2,1
16,1,29,38,1,12,75000,5,1,0,0,4,2
17,3,60,57,0,38,162000,2,30,0,0,1,3
18,3,34,48,0,3,49000,2,6,0,1,3,3
19,2,1,24,0,3,20000,1,3,0,0,1,1
20,1,26,29,1,3,77000,4,2,0,0,4,4
21,3,6,30,0,7,16000,3,1,0,1,1,2
22,1,68,52,1,17,120000,1,24,0,0,2,1
23,3,53,33,0,10,101000,5,4,0,1,2,4
24,3,55,48,1,19,67000,1,25,0,0,3,1
25,3,14,43,1,18,36000,1,5,0,0,5,3
26,2,1,21,0,0,33000,2,0,0,1,3,3
27,2,42,40,0,7,37000,2,8,0,1,1,4
28,3,25,33,1,11,31000,1,5,0,0,4,3
29,1,9,21,1,1,17000,2,2,0,1,3,1
30,2,13,33,1,9,19000,4,0,0,1,2,2
31,1,56,37,1,6,36000,1,13,0,1,2,2
32,1,71,53,1,27,155000,5,12,0,0,2,4
33,1,35,50,1,26,140000,2,21,0,1,4,3
34,1,11,27,1,8,55000,5,0,0,0,3,2
35,2,60,46,1,13,163000,3,24,0,0,2,4
36,3,20,35,1,11,52000,4,0,0,0,2,2
37,2,54,60,0,38,211000,4,25,0,0,1,4
38,1,44,57,1,1,186000,2,17,0,0,2,3
39,1,11,41,1,0,39000,1,1,0,1,2,3
40,2,72,57,0,34,22000,2,35,1,1,1,3
41,3,10,41,0,7,30000,1,7,0,0,1,3
42,2,15,28,0,0,29000,2,4,0,1,1,3
43,2,27,28,1,4,23000,2,8,0,0,5,1
44,1,9,36,1,14,62000,4,10,0,0,6,4
45,1,64,43,1,20,76000,4,20,0,1,4,3
46,1,65,41,1,3,74000,4,16,0,0,2,2
47,1,49,51,1,27,63000,4,19,0,0,5,2
48,3,47,41,1,0,36000,4,8,0,0,2,4
49,3,9,34,1,9,33000,2,8,0,1,4,1
50,1,5,36,0,14,29000,2,9,0,1,1,3
51,2,30,34,1,4,27000,2,1,0,0,5,1
52,1,56,52,1,28,49000,2,12,0,0,4,2
53,3,10,22,0,0,24000,4,0,0,0,1,4
54,1,7,26,1,3,26000,2,2,0,0,5,1
55,1,52,27,0,6,47000,3,5,0,0,2,1
56,2,36,45,1,1,94000,2,18,0,1,5,1
57,3,27,34,0,8,21000,3,4,0,1,1,2
58,1,58,62,1,36,27000,1,0,0,0,2,1
59,2,41,52,0,27,30000,2,2,0,1,1,3
60,2,47,40,1,16,127000,4,12,0,1,4,2
61,2,55,39,1,15,137000,2,20,0,1,2,3
62,2,56,50,1,1,80000,2,24,0,1,4,4
63,3,35,55,0,24,30000,2,2,0,0,1,1
64,2,69,51,1,11,438000,4,23,0,1,2,4
65,2,44,39,0,16,79000,2,16,0,0,1,4
66,3,36,47,1,16,63000,1,23,0,0,2,1
67,3,28,51,1,22,40000,3,10,0,1,6,3
68,1,72,67,1,44,51000,1,34,1,0,2,3
69,1,16,27,0,5,37000,3,5,0,0,4,1
70,3,3,43,0,19,61000,4,11,0,1,1,1
71,1,40,57,1,15,22000,2,9,0,0,2,1
72,3,16,39,0,6,44000,4,3,0,1,1,2
73,1,20,42,0,4,17000,3,5,0,0,1,1
74,2,48,43,0,13,110000,5,15,0,1,3,2
75,2,64,48,1,13,91000,2,24,0,0,2,3
76,1,8,46,0,3,46000,2,8,0,0,1,1
77,1,40,38,1,10,85000,3,12,0,0,2,3
78,2,38,71,0,27,10000,2,12,1,0,1,1
79,1,67,68,0,28,244000,1,47,0,1,1,3
80,1,26,42,0,0,80000,4,15,0,1,1,4
81,3,41,34,1,15,83000,5,1,0,1,2,4
82,2,2,31,0,2,21000,1,6,0,0,1,1
83,3,20,48,1,29,24000,2,3,0,0,2,4
84,2,31,53,0,2,351000,3,31,0,1,1,3
85,2,45,52,1,4,169000,4,29,0,1,4,2
86,2,33,27,1,7,46000,2,7,0,0,4,1
87,1,10,26,0,6,34000,3,3,0,0,1,2
88,2,62,54,1,2,50000,4,3,0,0,2,4
89,2,4,35,0,16,161000,5,6,0,1,1,4
90,1,42,47,1,17,212000,4,17,0,0,2,3
91,3,27,51,1,3,80000,5,11,0,0,3,2
92,2,38,42,0,1,30000,4,7,0,1,1,1
93,3,52,61,1,3,53000,5,1,0,1,2,2
94,3,35,33,0,9,73000,5,4,0,1,1,4
95,3,3,20,1,1,17000,2,0,0,1,4,1
96,2,17,33,0,9,23000,5,3,0,0,1,4
97,1,55,53,1,21,34000,1,8,0,0,2,3
98,3,43,36,1,5,107000,1,19,0,1,3,2
99,2,47,25,1,5,21000,1,1,0,1,2,3
100,3,65,58,0,30,83000,2,16,0,1,1,2
101,1,13,20,0,1,17000,3,0,0,0,5,4
102,3,64,25,1,4,76000,3,2,0,1,6,3
103,2,12,24,0,2,19000,1,0,0,0,1,3
104,1,29,32,1,0,49000,4,3,0,1,3,2
105,2,23,47,0,21,173000,3,22,0,1,1,2
106,2,14,35,0,4,47000,3,10,0,1,1,2
107,1,35,61,0,23,41000,2,11,0,0,1,1
108,3,26,39,0,8,105000,3,13,0,1,1,4
109,1,13,54,0,2,31000,4,2,0,0,1,1
110,2,69,40,1,13,41000,2,17,0,0,3,2
111,3,61,50,1,30,102000,4,9,0,1,3,2
112,2,45,22,1,2,36000,4,0,0,1,5,2
113,2,3,37,0,13,24000,1,3,0,1,1,1
114,2,53,22,0,1,25000,4,0,0,0,2,2
115,1,59,42,0,1,68000,2,21,0,1,1,3
116,1,13,34,0,11,20000,3,0,0,1,1,1
117,3,31,31,0,4,48000,1,15,0,0,1,3
118,1,40,29,1,6,40000,2,8,0,1,5,3
119,1,48,55,0,15,79000,1,25,0,0,1,3
120,3,3,31,0,1,28000,1,0,0,0,1,1
121,2,51,48,0,12,64000,2,22,0,1,1,1
122,3,33,41,0,15,37000,2,11,0,0,1,1
123,3,14,47,1,7,48000,1,13,0,0,2,1
124,1,17,42,1,6,131000,5,6,0,0,3,2
125,3,19,29,1,9,18000,2,2,0,0,3,1
126,2,58,36,0,10,38000,2,14,0,1,1,2
127,3,22,23,0,3,37000,2,4,0,1,3,4
128,2,29,31,1,1,60000,4,6,0,0,5,2
129,3,14,22,1,2,13000,3,0,0,1,4,2
130,2,70,64,1,18,98000,1,31,0,1,2,4
131,1,62,52,1,2,195000,1,23,0,0,2,3
132,2,7,35,1,0,47000,1,14,0,0,5,1
133,1,56,47,1,19,65000,2,22,0,0,3,4
134,1,50,50,1,22,150000,5,5,0,1,4,2
135,2,57,39,0,6,106000,5,8,0,0,1,3
136,3,2,40,0,19,51000,4,14,0,1,1,1
137,2,40,38,0,17,96000,4,0,0,1,1,1
138,2,6,43,0,4,33000,5,7,0,0,2,3
139,3,23,25,1,6,38000,2,1,0,1,3,3
140,3,11,32,0,6,125000,4,5,0,0,1,4
141,1,29,37,1,13,145000,5,0,0,1,4,4
142,1,42,44,1,2,99000,2,21,0,0,3,3
143,1,20,34,1,2,22000,4,0,0,1,3,4
144,2,72,60,1,21,31000,1,38,1,0,2,2
145,1,2,36,0,3,25000,1,6,0,1,1,3
146,3,46,25,0,5,57000,5,0,0,1,2,1
147,2,39,51,1,21,41000,5,20,0,0,6,4
148,3,24,25,1,1,20000,3,1,0,1,2,2
149,3,59,43,1,4,101000,2,22,0,1,5,2
150,1,65,37,0,8,56000,2,15,0,0,1,2
151,2,50,27,1,5,22000,2,5,0,1,3,1
152,1,57,37,0,11,108000,4,9,0,1,1,3
153,3,61,48,0,14,115000,4,20,0,1,1,4
154,3,34,54,0,31,53000,4,22,0,0,1,4
155,3,38,53,0,13,242000,4,12,0,0,1,4
156,1,3,24,1,2,20000,2,3,0,1,5,3
157,2,4,47,0,5,123000,4,11,0,0,1,1
158,2,15,35,0,0,34000,1,12,0,0,1,1
159,1,25,29,1,8,31000,4,3,0,1,5,2
160,3,21,44,0,25,47000,1,12,0,1,2,3
161,3,50,37,1,11,48000,3,8,0,1,2,3
162,2,65,64,1,22,13000,2,5,1,1,3,3
163,2,59,52,1,18,78000,1,25,0,0,2,1
164,3,29,26,0,7,34000,1,7,0,1,2,3
165,1,60,46,0,17,81000,5,9,0,1,1,2
166,1,71,45,1,14,86000,2,25,0,0,2,2
167,3,38,27,1,0,26000,4,2,0,0,4,4
168,3,16,34,1,5,51000,2,8,0,1,5,1
169,3,7,31,0,10,59000,3,10,0,0,1,1
170,1,59,53,0,21,112000,4,16,0,0,1,2
171,2,22,56,1,14,57000,4,28,0,0,2,4
172,1,18,48,1,20,41000,1,2,0,1,2,1
173,2,64,46,1,19,168000,2,26,0,1,2,4
174,2,7,33,0,4,29000,4,4,0,1,3,1
175,3,65,58,0,13,167000,2,14,0,1,2,2
176,3,7,24,0,5,29000,2,3,0,0,3,1
177,1,64,55,0,28,104000,1,26,0,1,1,3
178,3,42,22,1,0,46000,4,0,0,0,2,4
179,3,33,26,0,5,46000,4,1,0,1,3,4
180,1,3,33,0,8,51000,4,0,0,1,1,1
181,2,69,42,1,11,65000,2,18,0,0,2,4
182,2,9,33,0,1,48000,2,13,0,0,2,1
183,3,22,34,1,1,46000,3,1,0,0,4,2
184,2,53,63,1,15,43000,2,18,0,0,2,2
185,3,71,53,0,30,110000,1,34,0,0,1,2
186,3,24,26,0,2,32000,3,2,0,0,3,1
187,3,12,22,1,1,18000,3,0,0,1,2,1
188,1,25,39,1,1,26000,4,0,0,0,4,2
189,3,63,28,1,9,34000,2,10,0,1,6,3
190,1,33,54,1,18,57000,4,4,0,1,3,3
191,2,57,54,1,20,21000,2,0,0,1,3,1
192,3,13,33,0,7,38000,3,10,0,1,1,4
193,1,13,21,0,2,19000,3,0,0,1,1,2
194,1,71,39,0,2,40000,3,17,0,0,1,3
195,3,18,69,1,11,58000,3,8,0,0,2,4
196,1,17,51,1,10,95000,2,15,0,1,2,1
197,2,22,43,0,4,114000,2,19,0,0,1,1
198,2,65,65,1,27,128000,3,24,0,0,2,3
199,3,7,40,0,9,33000,4,2,0,1,1,1
200,3,72,66,0,30,460000,4,41,0,1,1,4
201,1,35,43,0,12,224000,3,17,0,0,1,1
202,1,24,39,0,2,122000,4,12,0,0,3,4
203,1,64,24,1,0,23000,3,1,0,1,5,2
204,2,63,63,1,19,191000,3,27,0,0,2,2
205,1,38,31,1,7,187000,4,6,0,0,3,4
206,2,29,37,1,9,119000,3,12,0,0,3,1
207,1,72,69,1,49,44000,2,44,1,1,2,3
208,1,10,27,1,2,15000,3,2,0,1,2,4
209,3,72,64,0,41,674000,4,37,0,1,1,3
210,3,52,23,1,4,33000,4,0,0,1,2,3
211,3,13,55,0,3,250000,2,35,0,1,2,1
212,1,3,33,0,6,64000,4,0,0,0,2,1
213,3,39,24,1,2,26000,2,4,0,0,4,1
214,2,28,29,0,4,23000,3,5,0,0,2,2
215,2,46,42,0,9,52000,4,7,0,0,3,2
216,2,62,46,0,27,200000,3,9,0,1,1,1
217,2,23,33,1,7,28000,1,4,0,0,2,3
218,3,23,25,1,5,19000,5,0,0,0,3,4
219,2,72,61,1,39,76000,3,21,0,0,2,4
220,3,56,60,0,26,70000,2,20,0,0,1,1
221,1,8,30,0,1,34000,2,9,0,1,1,3
222,3,3,36,0,7,34000,5,3,0,1,3,4
223,3,37,37,0,7,172000,3,13,0,0,1,1
224,3,37,53,1,13,48000,1,10,0,0,3,3
225,2,6,30,0,9,45000,2,2,0,1,1,1
226,1,48,47,0,9,72000,3,13,0,0,5,4
227,2,43,43,1,3,55000,4,18,0,1,4,4
228,2,21,29,0,7,40000,4,2,0,1,4,1
229,3,6,33,0,12,26000,3,0,0,0,1,3
230,2,69,51,0,18,96000,1,33,0,0,4,3
231,1,22,33,0,9,54000,1,10,0,0,1,3
232,1,28,40,1,1,47000,2,9,0,1,3,3
233,1,71,47,1,23,142000,1,30,0,0,2,2
234,2,7,37,0,5,57000,4,1,0,0,1,1
235,1,63,29,0,10,20000,3,7,0,0,2,4
236,2,53,57,0,25,37000,1,7,0,0,1,2
237,2,50,52,1,17,36000,4,16,0,0,4,4
238,2,39,31,1,6,24000,4,2,0,0,2,4
239,3,16,19,0,0,21000,2,0,0,1,1,1
240,3,43,51,1,15,186000,3,25,0,0,2,4
241,3,44,31,0,12,30000,1,7,0,1,3,1
242,2,72,66,1,43,96000,2,16,0,1,2,4
243,3,61,76,0,39,15000,1,29,1,0,1,3
244,3,43,21,1,1,25000,1,4,0,0,4,2
245,3,24,39,0,11,49000,3,7,0,1,1,1
246,3,64,45,0,4,38000,2,7,0,1,1,3
247,2,64,38,0,0,29000,2,2,0,0,2,2
248,1,24,26,0,7,55000,2,7,0,1,1,1
249,3,33,55,1,21,64000,3,10,0,1,3,1
250,2,33,33,1,12,42000,4,7,0,1,5,2
251,1,2,40,0,9,134000,4,2,0,0,1,1
252,2,42,48,1,22,82000,1,21,0,1,5,4
253,1,52,54,1,5,153000,5,10,0,0,2,2
254,1,45,66,0,43,144000,2,13,0,1,1,2
255,3,3,25,0,4,22000,4,0,0,0,2,4
256,2,37,53,1,16,35000,1,16,0,1,4,3
257,2,28,57,0,33,82000,4,22,0,1,1,2
258,3,40,63,1,9,61000,1,22,0,0,2,1
259,2,37,33,0,1,102000,2,12,0,0,1,4
260,3,7,27,0,5,31000,3,4,0,0,5,4
261,1,71,56,0,23,170000,1,30,0,1,1,4
262,2,19,46,0,11,26000,2,0,0,1,1,1
263,2,61,40,0,15,85000,3,15,0,1,1,3
264,3,70,53,1,16,183000,2,35,0,1,2,2
265,2,60,55,1,13,67000,1,18,0,1,2,1
266,3,48,45,1,5,42000,1,11,0,1,2,1
267,1,8,63,1,1,31000,1,9,0,0,2,3
268,2,58,58,1,10,96000,2,17,0,0,4,3
269,1,16,24,1,5,24000,3,2,0,0,5,3
270,2,33,33,0,4,53000,2,14,0,1,1,1
271,2,39,25,0,4,18000,1,0,0,1,1,3
272,1,62,51,0,10,43000,4,19,0,0,2,2
273,1,50,34,0,10,104000,3,9,0,0,1,4
274,2,48,55,0,31,26000,1,1,0,0,1,1
275,3,31,62,0,5,56000,2,26,0,1,1,3
276,2,65,33,1,9,49000,2,6,0,0,5,2
277,1,36,58,0,34,80000,1,21,0,1,1,2
278,1,61,46,0,5,318000,3,18,0,1,1,3
279,2,48,42,0,21,35000,4,5,0,0,1,3
280,3,35,45,0,17,29000,1,6,0,0,1,1
281,1,51,28,0,8,43000,5,1,0,0,5,4
282,2,49,51,1,5,80000,5,3,0,0,2,4
283,1,35,39,1,11,30000,3,2,0,1,3,3
284,1,58,70,0,2,9000,3,24,1,1,1,2
285,1,23,35,1,0,23000,2,1,0,0,5,3
286,2,26,39,1,15,58000,4,9,0,1,2,3
287,1,38,37,1,1,52000,1,20,0,1,4,4
288,1,35,66,1,44,14000,3,12,1,1,2,3
289,2,37,50,0,9,110000,2,21,0,1,1,3
290,2,48,43,1,1,60000,2,12,0,0,2,2
291,3,13,43,1,1,123000,3,21,0,0,5,4
292,1,72,63,1,29,15000,5,31,1,0,2,3
293,1,30,27,0,4,47000,4,2,0,1,2,2
294,1,24,43,0,14,138000,4,11,0,1,1,3
295,2,25,51,1,20,359000,3,29,0,0,2,4
296,2,50,52,0,30,214000,3,22,0,0,1,4
297,2,28,40,0,7,64000,1,19,0,0,1,3
298,3,34,51,0,8,50000,4,14,0,0,1,1
299,1,48,32,0,2,88000,3,9,0,0,1,4
300,2,42,36,1,8,86000,2,15,0,1,2,2
301,3,67,65,1,30,17000,1,29,1,1,2,3
302,1,17,41,1,7,25000,2,17,0,0,3,3
303,1,29,38,1,19,46000,2,6,0,0,2,2
304,3,66,61,0,26,361000,1,40,0,1,1,2
305,2,1,21,0,1,18000,3,0,0,1,1,1
306,1,28,33,1,3,14000,4,1,0,0,3,4
307,1,15,35,1,5,34000,3,8,0,0,2,2
308,2,12,64,0,13,9000,2,6,1,1,1,3
309,3,48,49,0,18,39000,2,5,0,1,1,4
310,2,59,25,1,4,18000,3,2,0,0,4,1
311,3,8,26,1,1,25000,4,1,0,0,2,1
312,1,45,52,0,15,46000,5,8,0,1,1,2
313,1,25,39,1,8,94000,4,11,0,1,4,2
314,1,21,44,1,4,26000,3,2,0,0,2,4
315,2,17,68,1,1,335000,1,35,0,1,3,4
316,2,41,45,0,14,25000,3,6,0,0,1,1
317,1,13,45,1,3,99000,3,8,0,1,2,3
318,2,1,26,1,3,30000,2,7,0,1,5,1
319,3,3,31,1,4,35000,2,2,0,1,3,4
320,1,23,27,1,2,51000,5,1,0,1,2,1
321,3,26,42,0,20,49000,3,13,0,0,1,4
322,1,37,51,1,15,54000,1,15,0,0,3,3
323,3,5,30,0,3,46000,4,7,0,0,1,2
324,1,32,27,1,3,91000,4,1,0,1,3,4
325,3,12,22,0,1,23000,4,0,0,0,2,1
326,1,72,54,1,6,345000,1,32,0,0,2,3
327,3,3,25,1,2,45000,4,0,0,1,2,1
328,1,54,43,0,12,53000,2,12,0,0,1,3
329,2,26,26,0,2,14000,2,6,0,1,1,4
330,3,14,36,0,13,67000,5,4,0,1,1,1
331,3,22,51,0,27,49000,3,1,0,0,1,1
332,3,65,47,1,18,37000,1,15,0,1,4,1
333,3,26,45,0,18,33000,1,9,0,0,1,1
